Name,Age,BloodGroup,loc_ngo,loc_hosp,phnum,ID
Enrique Valentin,46,B-,,hosp0092,(980)481-1246,rc0357
Dayna Hinkle,87,AB-,ngo0120,,(304)605-5592,rc0358
Horacio Maier,74,AB-,ngo0069,,(828)814-9959,rc0359
Galen Pruett,86,B-,ngo0118,,(317)590-4213,rc0360
Pam Wilbur,1,O+,,hosp0101,(832)955-7612,rc0361
Madeline Pulido,48,A-,,hosp0050,(310)974-5463,rc0362
Phil Mcwhorter,92,A-,,hosp0100,(317)839-3668,rc0363
Jean Dickerson,94,A+,ngo0112,,(714)296-9058,rc0364
Briana Porterfield,71,B+,,hosp0121,(641)192-3332,rc0365
Katie Mead,36,O-,,hosp0201,(213)561-3770,rc0366
Elmo Binder,30,B+,,hosp0095,(605)514-7814,rc0367
Deanne Mcclellan,31,O+,ngo0104,,(617)881-2560,rc0368
Rodney Le,16,AB-,ngo0129,,(334)550-5708,rc0369
Sasha Day,78,AB+,ngo0018,,(445)467-3758,rc0370
Willa Crumpton,28,AB+,,hosp0127,(612)869-7286,rc0371
Guadalupe Ruby,67,AB-,ngo0002,,(202)848-6777,rc0372
Andreas Cathey,26,AB-,,hosp0173,(479)491-4105,rc0373
Stewart Mccutcheon,96,O-,ngo0124,,(316)783-8038,rc0374
Leigh Mccauley,55,AB-,ngo0087,,(931)229-8303,rc0375
Raphael Trevino,44,AB-,ngo0020,,(818)126-3114,rc0376
Clarence Mcinnis,45,B-,,hosp0204,(828)784-1310,rc0377
Elden Ross,87,A-,,hosp0166,(260)213-3656,rc0378
Eloisa Dubose,30,A-,ngo0130,,(208)601-2665,rc0379
Sierra Fair,80,O+,,hosp0009,(207)324-9484,rc0380
Van Ricketts,27,O+,ngo0074,,(914)926-2654,rc0381
Leisa Pringle,41,A+,ngo0007,,(567)358-8223,rc0382
Twila Sewell,88,AB+,ngo0068,,(334)969-9078,rc0383
Kia Starnes,67,A-,,hosp0148,(970)394-8615,rc0384
Sydney Fulton,42,A+,ngo0018,,(843)862-6171,rc0385
Bert Minton,0,B-,ngo0083,,(304)515-6590,rc0386
Lucila Leigh,86,AB-,ngo0063,,(830)223-5223,rc0387
Josefina Cate,14,O+,ngo0089,,(651)898-8191,rc0388
Cheri Reich,36,B+,,hosp0018,(701)875-4729,rc0389
Mariann Fennell,11,O+,,hosp0014,(321)623-9428,rc0390
Rafaela Kline,66,A-,,hosp0104,(605)928-3738,rc0391
Hoyt Figueroa,13,O-,ngo0032,,(620)273-9909,rc0392
Terrance Danner,11,O-,,hosp0026,(401)948-5842,rc0393
Roosevelt France,33,B+,,hosp0089,(336)487-8258,rc0394
Lenard Macias,71,A+,ngo0064,,(404)442-7764,rc0395
Dortha Tijerina,57,A+,,hosp0138,(719)837-1451,rc0396
Tanya Norwood,42,B+,,hosp0027,(959)293-9390,rc0397
Elizabeth Rhoades,34,B-,ngo0099,,(501)399-4619,rc0398
Maya Hills,64,B+,ngo0114,,(978)313-7250,rc0399
Beryl Oquendo,3,AB-,ngo0093,,(334)738-4990,rc0400
Stewart Briley,41,O+,ngo0022,,(234)965-6457,rc0401
Scotty Grooms,22,AB+,ngo0135,,(464)610-2172,rc0402
Dale Mitchell,86,A-,,hosp0078,(603)874-6494,rc0403
Javier Dennison,23,A-,,hosp0041,(660)816-7733,rc0404
Carl Acosta,24,AB+,ngo0109,,(956)809-8353,rc0405
Krystle Braswell,88,AB+,ngo0119,,(440)992-7039,rc0406
Daniela Toro,4,AB+,ngo0040,,(562)410-8627,rc0407
